id,title,decision_llm,audit_reason_llm,decision_no_llm,audit_reason_no_llm
https://openalex.org/W2565934650,PERBANDINGAN SUPPORT VECTOR MACHINE DAN K-NEAREST NEIGHBOR UNTUK KLASIFIKASI TELUR FERTIL DAN INFERTIL BERDASARKAN ANALISIS TEXTURE GLCM,APPROVED,"The abstract is written in English and semantically aligns with the title, discussing the comparison of SVM and K-NN algorithms for classifying fertile and infertile eggs based on texture analysis.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4392868000,Implementasi Algoritma Quicksort Untuk Pembangkitan Kunci Algoitma RSA Pada Pengamanan Data Audio,APPROVED,"The title and abstract are both in English, and the abstract semantically explains the implementation of the Quicksort algorithm to enhance RSA key generation as described in the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4401050979,Implementasi Metode Convolutional Neural Network Untuk Identifikasi Citra Digital Daun,APPROVED,"The title and abstract are both in English and semantically consistent, as the abstract details the implementation of CNN for digital leaf image identification as stated in the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W2619539316,Meminimalisasi Nilai Error Peramalan dengan Algoritma Extreme Learning Machine,APPROVED,"The abstract is written in English and semantically aligns with the title, discussing the use of the Extreme Learning Machine algorithm to minimize forecasting error values.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W3093350545,Intelligent Character Recognition System Using Convolutional Neural Network,APPROVED,"The text is in English. The abstract discusses character recognition using Convolutional Neural Networks, which directly aligns with the paper title.",REJECTED,Matching check failed (Semantic Mismatch: Similarity is 0.4014 (threshold: 0.50))
https://openalex.org/W2589108169,IMPLEMENTASI BACKPROPAGATION NEURAL NETWORK DALAM PRAKIRAAN CUACA DI DAERAH BALI SELATAN,APPROVED,"The title and abstract are both in English and semantically consistent, as the abstract details the implementation of a backpropagation neural network for weather forecasting in South Bali, matching the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W2918701060,MODIFIKASI ALGORITMA VIGENÈRE CIPHER MENGGUNAKAN METODE CATALAN NUMBER DAN DOUBLE COLUMNAR TRANSPOSITION,APPROVED,"The title and abstract are both written in English, and the abstract semantically describes the modifications to the Vigenère Cipher mentioned in the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W2560797774,ENHANCEMENT OF QUANTUM PARTICLE SWARM OPTIMIZATION IN ELMAN RECURRENT NETWORK WITH BOUNDED VMAX FUNCTION,APPROVED,"The text is written in English, and the abstract directly elaborates on the title's subject matter, detailing the proposed enhancement of Quantum Particle Swarm Optimization in Elman Recurrent Networks with a bounded Vmax function.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W3133410799,Klasifikasi Jenis Kendaraan Menggunakan Metode Extreme Learning Machine,APPROVED,"The title and abstract are both in English and semantically consistent, as the abstract details the study on classifying vehicles using the Extreme Learning Machine method mentioned in the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W2243214875,Implementasi Transformasi Haar Wavelet untuk Deteksi Citra Jeruk Nipis yang Busuk,APPROVED,"The abstract is written in English and semantically aligns with the title, detailing the implementation of Haar Wavelet Transformation for detecting rotten limes.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W2772962726,Groundwater prospecting using geoelectrical method at kg gana kota marudu sabah,APPROVED,"The text is written in English, and the abstract directly elaborates on the geoelectrical method study mentioned in the title, confirming semantic relevance.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W2782446052,Frontalis Muscle Strength Calculation Based On 3D Image Using Gray Level Co-occurrence Matrix (GLCM) and Confidence Interval,APPROVED,"The text is written in English, and the abstract directly elaborates on the title's subject matter regarding frontalis muscle strength calculation using GLCM and confidence intervals for facial nerve disorders.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W2944536616,An Approach in Auto Valuing for Optimal Threshold of Viola Jones,APPROVED,"The text is written in English, and the abstract directly elaborates on the title's subject by detailing the application of the Viola Jones method for auto-valuing thresholds in face feature detection.",REJECTED,Matching check failed (Semantic Mismatch: Similarity is 0.3047 (threshold: 0.50))
https://openalex.org/W2994763304,Nearest Excellent Potential Location Using Distance Algorithm,APPROVED,"The text is written in English, and the abstract directly elaborates on the title by describing the study's aim to find a proper distance algorithm for a specific application, confirming semantic relevance.",REJECTED,Matching check failed (Semantic Mismatch: Similarity is 0.4234 (threshold: 0.50))
https://openalex.org/W4281758590,Klasifikasi Dehidrasi Tubuh Manusia Berdasarkan Citra RGB Pada Warna Urine Menggunakan Metode K-Nearest Neighbor,APPROVED,"The title and abstract are both written in English and semantically align, as the abstract details the methodology and results of classifying human dehydration levels using RGB urine images and the K-Nearest Neighbor method, directly corresponding to the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W2684023297,HARMFUL ALGAL BLOOM 2012 EVENT VERIFICATION IN LAMPUNG BAY USING RED TIDE DETECTION ON SPOT 4 IMAGE,APPROVED,"The text is written in English, and the abstract directly elaborates on the title's subject matter regarding the 2012 harmful algal bloom verification in Lampung Bay using SPOT 4 imagery.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W3045198405,SEGMENTASI CITRA PARU-PARU MENGGUNAKAN METODE KONTUR AKTIF DENGAN VALIDASI ROC,APPROVED,"The title and abstract are both written in English, and the abstract semantically describes the lung image segmentation method and validation results mentioned in the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W3122837793,Application of vikor (vise kriterijumska optimizacija i kompromisno resenje) method for identifying amplifier damage,APPROVED,"The text is written in English, and the abstract directly elaborates on the title's subject matter regarding the application of the VIKOR method for amplifier damage identification.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W3124043071,IMAGERY IDENTIFICATION OF TOMATOES WHICH CONTAIN PESTICIDES USING LEARNING VECTOR QUANTIZATION,APPROVED,"The text is written in English, and the abstract directly elaborates on the title's subject matter regarding pesticide identification in tomatoes using Learning Vector Quantization.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W3181324356,A Performance of Combined Methods of VCG and 16BCD for Feature Extraction on HSV,APPROVED,"The text is written in English, and the abstract directly elaborates on the methods (VCG and 16BCD) and the subject (HSV) mentioned in the title.",REJECTED,Matching check failed (Semantic Mismatch: Similarity is 0.4651 (threshold: 0.50))
https://openalex.org/W3192551812,Perbandingan Metode Cropping pada Sebuah Citra untuk Pengambilan Motif Tertentu pada Kain Songket Sumatera Barat,APPROVED,"The abstract is written in English and semantically aligns with the title, detailing a study on comparing cropping methods for extracting motifs from West Sumatra songket fabric images.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4289711738,THE EFFECT OF ADDITIONAL IRON SAND ON THE CRYSTAL SIZE AND STRAIN OF ZnO,APPROVED,"The text is written in English, and the abstract directly elaborates on the title's subject regarding the effect of iron sand (Fe doping) on the crystal size and strain of ZnO.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4367598831,Model Pengembangan Keamanan Data dengan Algoritma ROT 13 Extended Vernam Cipher dan Stream Cipher,APPROVED,"The title is in Indonesian but the abstract is in English; however, the semantic content of the abstract directly explains the title's proposed data security model using ROT 13, Vernam, and Stream Ciphers, indicating a strong match.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4384832892,Railroad Track Damage Detection Using CLAHE-KNN (CLAHE K-Nearest Neighbor),APPROVED,"The title and abstract are both in English and semantically consistent, as the abstract directly elaborates on the research methods and results mentioned in the title regarding railroad track damage detection using CLAHE-KNN.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4385640603,ANALYSIS OF APPLICATION HAAR CASCADE CLASSIFIER AND LOCAL BINARY PATTERN HISTOGRAM ALGORITHM IN RECOGNIZING FACES WITH REAL-TIME GRAYSCALE IMAGES USING OPENCV,APPROVED,"The title and abstract are both written in English and semantically align, as the abstract details the analysis of Haar Cascade Classifier and LBPH algorithms for face recognition using OpenCV, which directly corresponds to the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W3021646281,OPTICAL CHARACTER RECOGNITION IMPLEMENTATION FOR ADMISSION SYSTEM IN UNIVERSITAS PERTAMINA,APPROVED,"The title and abstract are both in English, and the abstract directly elaborates on the implementation of Optical Character Recognition (OCR) for the admission system at Universitas Pertamina as described in the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W3128754925,Steganografi Penyisipan Pesan Pada File Citra Dengan Menggunakan Metode LSB (Least Significant Bit),APPROVED,"The abstract is written in English and semantically aligns with the title, discussing steganography, LSB methods, and message security as indicated in the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W3137622353,Klasifikasi Topeng Cirebon menggunakan Metode Convolutional Neural Network,APPROVED,"The title and abstract are both in English, and the abstract directly elaborates on the topic of classifying Cirebon masks using Convolutional Neural Networks as stated in the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4311410252,Iban plaited mat motif classification with adaptive smoothing,APPROVED,"The text is written in English, and the abstract directly elaborates on the title's subject matter regarding Iban plaited mat motif classification and the proposed adaptive smoothing method.",REJECTED,Matching check failed (Semantic Mismatch: Similarity is 0.4685 (threshold: 0.50))
https://openalex.org/W4387220145,COMPARISON OF EDGE DETECTION METHODS USING ROBERTS AND LAPLACIAN OPERATORS ON MANGO LEAF OBJECTS,APPROVED,"The text is written in English, and the abstract directly elaborates on the title's subject matter regarding edge detection methods applied to mango leaf objects.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4394575156,PEMETAAN KERAWANAN BANJIR DI KOTA SURAKARTA,APPROVED,"The abstract is written in English and semantically aligns with the title, detailing the flood vulnerability mapping methodology and results for Surakarta City.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4404972908,THE IMPLEMENTATION OF RSA ALGORITHM IN TEXT MESSAGES ENCRYPTION AND DECRYPTION,APPROVED,"The text is written in English, and the abstract semantically aligns with the title by discussing the implementation of the RSA algorithm for encrypting and decrypting text messages.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4405922782,ANALYSIS OF EFFECTIVE IMAGE PROCESSING METRICS ON RASPBERRY PI AND NVIDIA JETSON NANO,APPROVED,"The text is written in English, and the abstract directly elaborates on the title's subject matter regarding image processing metrics on Raspberry Pi and NVIDIA Jetson Nano.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W1523070772,Implementasi Jaringan Syaraf Tiruan Perambatan Balik untuk Memprediksi Harga Logam Mulia Emas Menggunakan Algoritma Lavenberg Marquardt,APPROVED,"The abstract is written in English and semantically aligns with the title, discussing the implementation of a backpropagation neural network to predict gold prices using the Levenberg-Marquardt algorithm.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W2902742962,Pan-Tilt Modelling for Face Detection,APPROVED,"The text is written in English. The abstract describes a system for face detection using pan-tilt servo motors and PWM signals, which directly aligns with the title 'Pan-Tilt Modelling for Face Detection'.",REJECTED,Matching check failed (Semantic Mismatch: Similarity is 0.4589 (threshold: 0.50))
https://openalex.org/W3213192271,Klasifikasi Motif Citra Batik Menggunakan Convolutional Neural Network Berdasarkan K-means Clustering,APPROVED,"The title and abstract are both in English and semantically consistent, as the abstract details the methodology (CNN, K-means Clustering) and results described in the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4368246678,Implementasi Algoritma Backpropagation Neural Networks Untuk Memprediksi Hasil Kinerja Dosen,APPROVED,"The abstract is written in English and semantically aligns with the title, detailing the implementation of the Backpropagation Neural Networks algorithm to predict lecturer performance.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W2994231089,Optimization of transmission signal by artificial intelligent,APPROVED,"The text is written in English, and the abstract directly elaborates on the title's topic regarding using Artificial Intelligence (RBFNN) to optimize transmission signals.",REJECTED,Matching check failed (Semantic Mismatch: Similarity is 0.4505 (threshold: 0.50))
https://openalex.org/W4382513280,Combination RC4 Algorithm and Base64 Encryption on The Least Significant Bit Method,APPROVED,"The text is written in English, and the abstract directly elaborates on the title's subject matter by describing the implementation of RC4 and Base64 encryption combined with LSB steganography.",REJECTED,Matching check failed (Semantic Mismatch: Similarity is 0.4453 (threshold: 0.50))
https://openalex.org/W4396557377,CLASSIFICATION OF JAVANESE NGLEGENA SCRIPT USING COMPLEXVALUED NEURAL NETWORK,APPROVED,"The title and abstract are both in English, and the abstract directly elaborates on the classification of Javanese Nglegena script using Complex-Valued Neural Networks as stated in the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W3203352831,SMART TROLLY DESIGN BASED ON MARKER DETECTION,APPROVED,"The text is written in English, and the abstract directly elaborates on the title by describing a smart trolley design that utilizes marker detection to follow users.",REJECTED,Matching check failed (Semantic Mismatch: Similarity is 0.4385 (threshold: 0.50))
https://openalex.org/W4317716290,Deteksi Kecacatan Permukaan Rel Menggunakan Metode Deep Learning Neural Network,APPROVED,"The title and abstract are both in English and semantically consistent, describing a study on detecting rail surface defects using deep learning neural networks.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4385661914,AUTOMATIC VEHICLE COUNTER SYSTEM BASED BLOB DETECTION FOR HIGHWAY SURVEILLANCE,APPROVED,"The text is written in English, and the abstract directly elaborates on the title's subject matter regarding an automatic vehicle counter system using blob detection for highway surveillance.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4386051241,IMPLEMENTATION OF FACE RECOGNITION AND LIVENESS DETECTION SYSTEM USING TENSORFLOW.JS,APPROVED,"The text is written in English, and the abstract directly elaborates on the face recognition and liveness detection system using TensorFlow.js mentioned in the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4391750658,Pendekatan Machine Learning untuk Analisis dan Visualisasi Data Jembatan Timbang,APPROVED,"The abstract is written in English and semantically aligns with the title, detailing a machine learning approach for analyzing and visualizing weighbridge data.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4393363416,Indeks Padmakar-Ivan dan indeks Randic pada graf non-koprima dari grup bilangan bulat modulo,APPROVED,"The abstract is written in English and semantically aligns with the title, discussing the calculation of Padmakar-Ivan and Randic indices for non-coprime graphs of integer groups modulo.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4401050365,Prediksi Banjir Berdasarkan Indeks Curah Hujan Menggunakan Deep Neural Network (DNN),APPROVED,"The abstract is written in English and semantically aligns with the title, discussing flood prediction using Deep Neural Networks based on rainfall indices.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4402142230,Optimalisasi Parimeter Di Wilayah Airside Di Bandar Udara Oesman Sadik Labuha Terhadap Keamanan Penerbangan,APPROVED,"The abstract is written in English and semantically aligns with the title, discussing the optimization of the airside perimeter at Oesman Sadik Airport to enhance flight safety.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4403256793,Perbandingan Algoritma CART dan C.4 5 Pada Citra Tandan Buah Sawit Untuk Mengetahui Tingkat Kematangan Dalam Penentuan Harga,APPROVED,"The abstract is written in English and semantically aligns with the title, discussing the comparison of CART and C4.5 algorithms for determining oil palm fruit maturity.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4404829366,Application of Convolutional Neural Network Using TensorFlow as a Learning Medium for Spice Classification,APPROVED,"The text is written in English, and the abstract directly elaborates on the title's subject regarding CNN application for spice classification as a learning medium.",REJECTED,Matching check failed (Semantic Mismatch: Similarity is 0.4942 (threshold: 0.50))
https://openalex.org/W4406187933,Pengamanan Data Nilai Mahasiswa Menggunakan Algoritma Caesar Chiper dan RSA Berbasis Web,APPROVED,"The abstract is written in English and semantically aligns with the title, detailing the implementation of Caesar Cipher and RSA algorithms for securing student grade data.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4409612957,Implementasi Algoritma YOLO V8 (You Only Look Once) Dalam Deteksi Penyakit Daun Durian,APPROVED,"The abstract is written in English and semantically aligns with the title, detailing the implementation of the YOLO V8 algorithm for detecting durian leaf diseases.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4410716130,Formulasi Sediaan Deodoran Spray dengan Ekstrak Lidah Buaya,APPROVED,"The title and abstract are both in English, and the abstract accurately describes the study on formulating a deodorant spray with aloe vera extract mentioned in the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4413176943,GREEN SYNTHESIS NANOMAGNETIC MnFe2O4 USING BREADFRUIT LEAF EXTRACT (Artocarpus altilis) AND ANTI-BACTERIAL ACTIVITY TEST AGAINST E.Coli AND S. Aureus,APPROVED,"The text is written in English, and the abstract accurately describes the green synthesis of MnFe2O4 nanomagnets using breadfruit leaf extract and their antibacterial testing against E. Coli and S. aureus, which directly matches the title.",REJECTED,Language check failed (FastText detected non-English content.)
